Suburb,Site,Exposure period,Notes,Date added,Health advice
Reservoir,P & C Indian Grocery & Convenience Store 246 Broadway Reservoir VIC 3073,22/05/2021 6:00pm - 7:00pm,Case attended venue,22/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Reservoir,Shell Coles Express Reservoir 192-202 Broadway & Whitelaw Street Reservoir VIC 3073,18/05/2021 3:15pm - 4:15pm,Case attended venue,18/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Reservoir,Doctors on Broadway 210A Broadway Reservoir VIC 3073,18/05/2021 2:00pm - 3:45pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Edwardes Lake Playground Edwardes Lake Reservoir VIC 3073,23/05/2021 5:15pm - 6:00pm,Case attended venue,28/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Reservoir,Healthy India 276 Broadway Reservoir VIC 3073,27/05/2021 9:30am - 2:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Vic Fields Summerhill Shopping Centre 850 Plenty Road Reservoir VIC 3073,18/05/2021 4:20pm - 5:30pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Healthy India 276 Broadway Reservoir VIC 3073,24/05/2021 8:00am - 6:00pm,Case worked at venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Healthy India 276 Broadway Reservoir VIC 3073,25/05/2021 10:00am - 9:30pm,Case worked at venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Healthy India 276 Broadway Reservoir VIC 3073,26/05/2021 10:00am - 9:30pm,Case worked at venue,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Reservoir,Akkar Pastry 274 Broadway Reservoir VIC 3073,26/05/2021 9:50am - 10:25am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Reservoir,My Chemist Broadway 270 Broadway Reservoir VIC 3073,25/05/2021 4:45pm - 5:25pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Reservoir,Metro Petroleum Reservoir 139/145 Spring Street Reservoir VIC 3073,11/05/2021 1:50pm - 2:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Reservoir,Melbourne Kebab Station Reservoir 766A Plenty Road Reservoir VIC 3073,11/05/2021 2:00pm - 2:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Richmond,"Melbourne Cricket Ground - Zone 4, Level 1 Brunton Avenue Richmond VIC 3002",23/05/2021 2:50pm - 6:30pm,Case attended venue,26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Richmond,"Melbourne Cricket Ground - All of the Stadium, other than Zone 4, Level 1 Brunton Avenue Richmond VIC 3002",23/05/2021 2:50pm - 6:30pm,Case attended venue,26/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Richmond,My Homes and Gifts 182-186 Victoria St Richmond VIC 3121,22/05/2021 1:00pm - 3:40pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Seddon,Caprice Hair & Beauty 101 Charles Street Seddon VIC 3011,22/05/2021 1:15pm - 1:40pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,The Palace Hotel 505-507 City Road South Melbourne VIC 3205,21/05/2021 5:45pm - 6:45pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Anytime Fitness South Melbourne 63-69 Market Street South Melbourne VIC 3205,20/05/2021 6:15am - 7:15am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Anytime Fitness South Melbourne 63-69 Market Street South Melbourne VIC 3205,21/05/2021 6:15am - 7:15am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Anytime Fitness South Melbourne 63-69 Market Street South Melbourne VIC 3205,24/05/2021 6:15am - 7:15am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Anytime Fitness South Melbourne 63-69 Market Street South Melbourne VIC 3205,25/05/2021 6:00am - 7:00am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Miss China Noodle Bar (within Clarendon Centre) Shop G08/261 Clarendon Street South Melbourne VIC 3205,25/05/2021 12:40pm - 1:40pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Telstra Shop Shop G01/265 Clarendon Street South Melbourne VIC 3205,24/05/2021 9:15am - 5:30pm,Case worked at venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Telstra Shop Shop G01/265 Clarendon Street South Melbourne VIC 3205,25/05/2021 9:15am - 5:30pm,Case worked at venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Hunky Dory Fish & Chips 252 Clarendon Street South Melbourne VIC 3205,24/05/2021 1:00pm - 2:00pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Clarendon Centre - Female public toilets 261 Clarendon Street South Melbourne VIC 3205,25/05/2021 9:15am - 6:45pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Clarendon Centre - Female public toilets 261 Clarendon Street South Melbourne VIC 3205,24/05/2021 9:15am - 6:15pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Melbourne,Woolworths South Melbourne 113 Cecil Street South Melbourne VIC 3205,22/05/2021 1:20pm - 1:57pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Melbourne,Woolworths South Melbourne 113 Cecil Street South Melbourne VIC 3205,23/05/2021 7:00pm - 8:15pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Melbourne,Zoumi Cafe 70 Albert Rd South Melbourne VIC 3205,22/05/2021 10:35am - 11:05am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Melbourne,Australia Post South Melbourne 100 Market Street South Melbourne VIC 3205,21/05/2021 5:55pm - 6:40pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Wharf,"Roll'd - DFO South Wharf DFO South Wharf, 20 Convention Center Place South Wharf VIC 3006",25/05/2021 12:15pm - 1:15pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Wharf,"Boost Juice DFO DFO South Wharf, 20 Convention Center Place South Wharf VIC 3006",24/05/2021 12:15pm - 1:15pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Wharf,"DFO Food Court DFO South Wharf, 20 Convention Center Place South Wharf VIC 3006",24/05/2021 12:15pm - 1:15pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Yarra,Circus Bar 199 Commercial Road South Yarra VIC 3181,23/05/2021 1:30am - 4:15am,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Yarra,Taco Bell Chapel Street 352 Chapel Street South Yarra VIC 3141,23/05/2021 5:30pm - 6:45pm,Case attended venue,29/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
South Yarra,Forvic Asian Supermarket 251 Malvern Road South Yarra VIC 3141,23/05/2021 5:00pm - 6:00pm,Case shopped at store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Yarra,"Lee's Asian Grocery Stall 19, Prahan Market, 163 Commercial Road South Yarra VIC 3141",23/05/2021 5:00pm - 6:00pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
South Yarra,Giant Bike Shop Unit 1/316-320 Toorak Road South Yarra VIC 3141,22/05/2021 3:21pm - 4:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Southbank,Criniti's Southbank 645 Freshwater Place Southbank VIC 3006,23/05/2021 6:00pm - 9:30pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
St Kilda,Woolworths 64 Fitzroy Street St Kilda VIC 3182,27/05/2021 3:00pm - 3:30pm,Case shopped at store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
St Kilda,McDonalds St Kilda 32 The Esplanade St Kilda VIC 3182,27/05/2021 4:10pm - 4:40pm,Case picked up take away,29/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
St Kilda,St Kilda 70A Acland Street St Kilda VIC 3182,27/05/2021 4:20pm - 4:50pm,Case picked up take away,29/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
St Kilda,Woolworths 117 Acland Street St Kilda VIC 3182,28/05/2021 5:00pm - 5:30pm,Case shopped in store,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
St Kilda,Galleon Cafe 9 Carlisile Street St Kilda VIC 3182,23/05/2021 1:08pm - 2:01pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,ACTROL (Retail Store- refrigerator and airconditioning parts) 13-17 Brand Drive Thomastown VIC 3074,17/05/2021 12:00pm - 1:30pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,White Line Automotive 2/28 Lipton Drive Thomastown VIC 3074,20/05/2021 12:00pm - 1:30pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,7-Eleven Thomastown North Cnr Edgars Road & Main Street Thomastown VIC 3074,23/05/2021 5:45pm - 6:15pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Supa IGA Thomastown 122 Main Street Thomastown VIC 3074,24/05/2021 11:10am - 11:50am,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,7-Eleven Thomastown North Cnr Edgars Road and Main Street Thomastown VIC 3074,24/05/2021 11:00am - 11:45am,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,Gobind Sweets 6/350 Settlement Road Thomastown VIC 3074,27/05/2021 2:40pm - 3:10pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,17/05/2021 6:00am - 2:30pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,18/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,20/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,21/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,24/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,25/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,26/05/2021 6:00am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,27/05/2021 6:00am - 2:30pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,28/05/2021 6:00am - 2:30pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,12/05/2021 2:30pm - 11:30pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,Slades Beverages 46/40-50 Keon Parade Thomastown VIC 3074,13/05/2021 6:00am - 2:30pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Thomastown,BP Petrol Station 72 Keon Parade Thomastown VIC 3074,28/05/2021 2:40pm - 3:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Thomastown,BP Thomastown 72 Keon Parade Thomastown VIC 3074,19/05/2021 2:30pm - 3:00pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Thomastown,BP Service Station Thomastown 123 High Street Thomastown VIC 3074,20/05/2021 3:25pm - 4:10pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Thornbury,Little Tienda 410 Station Street Thornbury VIC 3071,22/05/2021 7:45am - 8:20am,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Truganina,Liberty Oil 290 Leakes Road Truganina VIC 3029,23/05/2021 7:05pm - 7:40pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Tullamarine,BP Tullamarine Corner of Airport Drive and Link Road Tullamarine VIC 3045,24/05/2021 10:30am - 11:30am,"Case attended venue twice on the same day, refer to other listing",27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Tullamarine,BP Tullamarine Corner of Airport Drive and Link Road Tullamarine VIC 3045,24/05/2021 4:30pm - 5:30pm,"Case attended venue twice on the same day, refer to other listing",27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Tullamarine,7-Eleven Tullamarine (Carrick Drive) 182 Melrose Drive Tullamarine VIC 3043,22/05/2021 11:50am - 11:55am,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Wantirna South,Insportz Knox 108 Lewis Road Wantirna South VIC 3152,20/05/2021 6:30pm - 8:30pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Wollert,Erol's Fruit Shop 319 Harvest Home Road Wollert VIC 3750,18/05/2021 11:25am - 12:10pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Wollert,Hamara Bazaar 315 Harvest Home Road Wollert VIC 3750,18/05/2021 10:30am - 11:30am,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Yarraville,Focus Health & Fitness 121-123 Hyde Street Yarraville VIC 3013,24/05/2021 6:30am - 7:30am,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Yarraville,Coles Yarraville Cnr Williamstown Road & High Street Yarraville VIC 3013,23/05/2021 3:00pm - 3:30pm,Case attended venue,28/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Yarraville,Prestige Fruit and Vegetables 27 Anderson St Yarraville VIC 3013,24/05/2021 6:15am - 7:00am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
