Suburb,Site,Exposure period,Notes,Date added,Health advice
Cranbourne,"LeNails Cranbourne Shop 101 Cranbourne Park Shopping Centre, High Street Cranbourne VIC 3977",22/05/2021 1:15pm - 2:15pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Cranbourne,Gami Rasa Restaurant 19 Hotham Street Cranbourne VIC 3977,21/05/2021 6:00pm - 7:50pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Cranbourne,7-Eleven Cranbourne Amstel 1/1016s Cranbourne-Frankston Rd Cranbourne VIC 3977,22/05/2021 2:20pm - 2:55pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Cranbourne,"Factorie Shop SP104 Cranbourne Park Shopping Centre, High St Cranbourne VIC 3977",23/05/2021 11:00am - 11:45am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Cranbourne,Oporto Cranbourne Chicken 1016 Cranbourne-Frankston Rd Cranbourne VIC 3977,23/05/2021 2:50pm - 3:25pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Cranbourne,Connor Cranbourne Park Shopping Centre 132 High Street Cranbourne VIC 3977,23/05/2021 10:50am - 11:30am,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Cranbourne West,Woolworths Cranbourne West Cnr Hall and Evans Roads Cranbourne West VIC 3977,22/05/2021 2:25pm - 3:15pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Dandenong,Spice Inn Groceries 4 16-46 Cleeland Street Dandenong VIC 3175,19/05/2021 1:00pm - 1:40pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Dandenong,Bestway Supermarket 200-208 Lonsdale Street Dandenong VIC 3175,19/05/2021 12:15pm - 1:15pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Dandenong,Bestway Supermarket 21-23 Cleeland Street Dandenong VIC 3175,19/05/2021 1:00pm - 1:40pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Dandenong,Marmara Halal Meats 141- 145 Lonsdale Street Dandenong VIC 3175,19/05/2021 11:35am - 12:25pm,Case attended venue,28/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Docklands,Marvel Stadium - (Level 1 Aisles 5-28 and Level 3 Aisles 6-29) 740 Bourke St Docklands VIC 3008,23/05/2021 4:30pm - 7:30pm,Case attended facility,26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Docklands,Marvel Stadium - all other zones not individually listed 740 Bourke St Docklands VIC 3008,23/05/2021 4:30pm - 7:30pm,Case attended venue,26/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Docklands,Network Public Bar 14/99 Spencer Street Docklands VIC 3008,23/05/2021 3:30pm - 5:00pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
